RECORD_ID,POLICY_NUMBER,NOTIFICATION_DATE,ACTION_TYPE,POLICY_TYPE,REASON_SOURCE,INDICATOR_60D,ZIP_CODE,EFFECTIVE_DATE,REASON_CODES,THIRD_PARTY_IND,AERIAL_IMAGERY
TFB-100019,POL-895324,2026-03-30,D,C,B,0,76712,2026-04-19,GHJ,Y,0
TFB-100020,POL-766505,2026-04-03,NR,H,A,0,78701,2026-05-19,EF,N,0
TFB-100021,POL-851164,2026-03-15,C,T,A,1,78205,2026-06-06,DG,N,0
TFB-100022,POL-577210,2026-04-19,NR,T,B,0,77002,2026-05-06,EGJ,Y,0
TFB-100023,POL-641385,2026-03-23,NR,D,B,1,78205,2026-05-22,GJ,N,0
TFB-100024,POL-859131,2026-02-06,C,T,C,0,78205,2026-03-25,DG,Y,0
TFB-100025,POL-816064,2026-03-15,C,C,A,0,78205,2026-04-28,CJK,N,0
TFB-100026,POL-945269,2026-03-01,NR,T,B,0,77002,2026-03-28,BHK,Y,1
TFB-100027,POL-997319,2026-01-18,D,T,B,0,76712,2026-02-05,LG,Y,0
TFB-100028,POL-527003,2026-02-09,D,H,B,0,78205,2026-03-04,GL,N,0
TFB-100029,POL-758463,2026-01-11,C,D,B,1,79901,2026-03-16,CI,Y,0
TFB-100030,POL-661938,2026-03-11,NR,H,C,0,78205,2026-03-26,E,Y,0
TFB-100031,POL-603153,2026-04-17,NR,H,A,0,79901,2026-05-12,E,N,0
TFB-100032,POL-954649,2026-01-15,C,D,C,0,76710,2026-03-10,J,Y,0
TFB-100033,POL-639725,2026-04-03,NR,H,C,1,76712,2026-06-09,HKL,Y,1
TFB-100034,POL-682024,2026-01-07,C,C,A,1,77002,2026-03-08,EIL,Y,0
TFB-100035,POL-686805,2026-01-18,C,C,A,0,,2026-02-09,BL,N,0
TFB-100036,POL-718779,2026-04-05,NR,C,A,0,76710,2026-05-07,J,Y,0
TFB-100037,POL-869942,2026-02-04,D,T,B,0,76712,2026-03-23,J,Y,0
TFB-100038,POL-899876,2026-03-20,D,T,B,1,78205,2026-06-16,BCK,Y,0
TFB-100039,POL-858941,2026-02-12,C,C,B,1,78205,2026-05-13,CG,Y,0
TFB-100040,POL-782952,2026-03-02,D,C,C,0,78205,2026-03-18,EHI,Y,0
TFB-100041,POL-874448,2026-01-02,D,C,C,0,79901,2026-02-18,C,Y,0
TFB-100042,POL-887298,2026-01-24,NR,C,A,0,78205,2026-03-05,F,Y,0
TFB-100043,POL-565737,2026-01-20,C,T,A,0,77002,2026-03-20,BD,Y,0
TFB-100044,POL-714391,2026-02-02,C,C,C,0,79901,2026-03-26,BHK,Y,1
TFB-100045,POL-687232,2026-03-17,NR,D,C,1,,2026-06-06,H,Y,0
TFB-100046,POL-754924,2026-04-18,NR,C,B,0,75201,2026-06-10,FGH,Y,0
TFB-100047,POL-535924,2026-02-04,D,C,B,0,76712,2026-03-06,AB,Y,0
TFB-100048,POL-904435,2026-01-22,D,C,A,0,76710,2026-02-26,I,N,0
TFB-100049,POL-592702,2026-02-08,D,H,A,1,77002,2026-04-24,BFK,Y,0
TFB-100050,POL-950494,2026-04-09,C,C,B,1,79901,2026-06-18,BIL,N,0
TFB-100051,POL-930071,2026-01-10,D,T,A,1,79901,2026-03-24,EF,N,0
TFB-100052,POL-894873,2026-01-30,D,C,A,1,76712,2026-04-17,HJK,N,0
TFB-100053,POL-576173,2026-02-10,D,H,C,1,79901,2026-05-04,BCE,N,0
TFB-100054,POL-665740,2026-01-05,D,C,A,0,78205,2026-01-23,K,Y,1
TFB-100055,POL-706895,2026-01-16,D,D,A,0,76710,2026-03-12,BEI,N,0
TFB-100056,POL-602325,2026-04-02,D,D,A,1,78701,2026-06-27,LHB,Y,0
TFB-100057,POL-698666,2026-02-11,NR,H,A,0,76701,2026-03-25,AI,N,0
TFB-100058,POL-576218,2026-01-26,NR,T,B,1,76710,2026-04-15,GL,Y,0
TFB-100059,POL-507538,2026-01-10,NR,D,B,0,75201,2026-03-08,KL,Y,0
TFB-100060,POL-809985,2026-02-14,C,H,B,0,76712,2026-03-23,DH,Y,0
TFB-100061,POL-531543,2026-02-25,C,D,B,0,78701,2026-03-12,LIH,N,0
TFB-100062,POL-684640,2026-02-14,D,D,C,0,78701,2026-03-16,H,N,0
TFB-100063,POL-903660,2026-03-18,C,H,C,0,79901,2026-04-29,EH,Y,0
TFB-100064,POL-663209,2026-03-29,C,T,C,0,75201,2026-04-22,CD,N,0
TFB-100065,POL-540310,2026-02-25,D,T,B,0,75201,2026-04-14,ABE,N,0
TFB-100066,POL-963536,2026-03-26,C,H,A,0,76701,2026-05-18,CDG,Y,0
TFB-100067,POL-683325,2026-01-06,C,D,A,0,76701,2026-02-09,ACJ,Y,0
TFB-100068,POL-787832,2026-04-17,NR,T,C,1,79901,2026-07-05,I,Y,0
TFB-100069,POL-969208,2026-02-20,NR,C,A,0,76710,2026-03-09,D,N,0
TFB-100070,POL-999998,2026-01-06,D,C,B,0,76710,2026-01-23,BHL,N,0
TFB-100071,POL-974491,2026-03-02,C,H,A,0,79901,2026-03-30,A,N,0
TFB-100072,POL-999089,2026-03-23,C,H,A,1,78205,2026-06-10,G,N,0
TFB-100073,POL-957966,2026-04-20,D,C,C,0,79901,2026-05-10,G,Y,0
TFB-100074,POL-716444,2026-04-16,D,D,A,0,76701,2026-06-03,EF,N,0
TFB-100075,POL-538236,2026-02-10,C,D,A,0,75201,2026-04-04,H,Y,0
TFB-100076,POL-769368,2026-04-14,NR,T,C,0,76712,2026-06-06,ACD,N,0
TFB-100077,POL-966283,2026-04-08,C,H,B,0,,2026-05-19,G,Y,0
TFB-100078,POL-798395,2026-03-04,D,C,B,1,78205,2026-05-23,G,Y,0
TFB-100079,POL-656394,2026-02-16,NR,T,A,0,76712,2026-03-10,EFK,Y,0
TFB-100080,POL-650531,2026-01-09,C,T,B,1,75201,2026-03-22,DH,N,0
TFB-100081,POL-524821,2026-03-14,C,D,C,1,78701,2026-05-18,CDH,N,0
TFB-100082,POL-910744,2026-02-25,NR,H,A,0,76701,2026-04-03,AK,N,0
TFB-100083,POL-889682,2026-02-14,NR,H,C,1,79901,2026-04-27,AFJ,Y,0
TFB-100084,POL-800781,2026-01-24,D,H,B,1,76710,2026-04-21,BG,Y,0
TFB-100085,POL-712239,2026-04-14,C,C,C,0,78205,2026-05-04,H,Y,0
TFB-100086,POL-891668,2026-03-22,NR,T,A,0,77002,2026-04-16,I,Y,0
TFB-100087,POL-917973,2026-02-10,C,C,B,1,76701,2026-04-29,A,Y,0
TFB-100088,POL-854016,2026-03-08,NR,C,A,0,78701,2026-04-27,G,Y,0
TFB-100089,POL-826913,2026-01-11,NR,T,A,1,78701,2026-03-25,ACG,Y,0
TFB-100090,POL-535685,2026-02-28,C,H,B,0,76701,2026-03-15,GHJ,Y,0
TFB-100091,POL-528431,2026-04-13,C,T,B,1,76712,2026-06-17,ACF,Y,0
TFB-100092,POL-595854,2026-04-17,D,C,A,1,75201,2026-07-07,F,N,0
TFB-100093,POL-656168,2026-01-06,C,T,C,1,77002,2026-03-20,ACF,N,0
TFB-100094,POL-846762,2026-02-22,NR,D,B,0,,2026-03-18,DGH,Y,0
TFB-100095,POL-973215,2026-01-28,C,T,B,0,77002,2026-03-09,J,N,0
TFB-100096,POL-807458,2026-01-12,C,H,B,0,77002,2026-02-03,F,Y,0
TFB-100097,POL-603772,2026-03-13,NR,H,C,1,77002,2026-05-19,J,Y,0
TFB-100098,POL-642473,2026-03-22,NR,H,B,1,79901,2026-06-08,ADK,N,0
TFB-100099,POL-578993,2026-01-03,D,T,A,0,76712,2026-01-25,H,N,0
TFB-100100,POL-708104,2026-02-03,NR,C,A,1,75201,2026-04-29,AE,N,0
TFB-100101,POL-707809,2026-02-27,NR,T,B,0,76712,2026-03-27,AFI,Y,0
TFB-100102,POL-722367,2026-03-15,C,T,B,0,77002,2026-04-20,L,Y,0
TFB-100103,POL-841833,2026-03-18,D,D,C,0,79901,2026-05-13,A,Y,0
TFB-100104,POL-799219,2026-01-12,C,T,C,0,78205,2026-03-12,DL,N,0
TFB-100105,POL-959016,2026-04-19,D,T,C,1,76710,2026-07-05,AKL,N,0
TFB-100106,POL-735302,2026-04-10,C,H,B,0,76701,2026-05-04,EL,Y,0
TFB-100107,POL-575413,2026-01-20,D,H,B,1,77002,2026-04-18,HI,Y,0
TFB-100108,POL-599728,2026-03-13,D,T,A,0,76701,2026-04-17,IL,Y,0
TFB-100109,POL-576007,2026-03-15,NR,D,A,1,76712,2026-06-08,ICB,N,0
TFB-100110,POL-771810,2026-02-17,NR,T,B,0,78205,2026-04-08,BGJ,Y,0
TFB-100111,POL-656089,2026-01-15,NR,C,A,1,76710,2026-04-14,AJ,N,0
TFB-100112,POL-985338,2026-04-15,C,T,B,1,78701,2026-06-19,CGL,Y,0
TFB-100113,POL-685051,2026-01-03,D,D,C,1,76710,2026-03-27,CDJ,Y,0
TFB-100114,POL-937033,2026-04-13,D,D,C,0,76712,2026-05-06,F,N,0
TFB-100115,POL-513786,2026-04-07,D,C,C,0,76710,2026-05-16,DFK,N,0
TFB-100116,POL-709029,2026-03-11,C,C,B,0,76701,2026-04-12,AF,Y,0
TFB-100117,POL-968034,2026-01-16,C,D,A,1,75201,2026-03-26,ACF,Y,0
TFB-100118,POL-951571,2026-04-18,D,T,B,1,78205,2026-07-11,J,Y,0
TFB-100119,POL-771640,2026-03-27,D,T,B,1,77002,2026-06-14,AHI,Y,0
TFB-100120,POL-710464,2026-03-12,NR,H,C,1,76701,2026-05-11,DEH,N,0
TFB-100121,POL-801381,2026-01-16,C,D,A,0,77002,2026-02-07,CK,N,0
TFB-100122,POL-782278,2026-01-12,NR,T,B,1,78701,2026-03-31,B,N,0
TFB-100123,POL-849129,2026-04-12,D,D,A,0,76710,2026-06-02,CK,N,0
TFB-100124,POL-654178,2026-02-05,C,T,A,1,79901,2026-04-21,F,N,0
TFB-100125,POL-796916,2026-03-23,D,T,C,1,78701,2026-06-01,BEI,Y,0
TFB-100126,POL-752522,2026-01-31,D,T,B,1,77002,2026-04-24,K,Y,1
TFB-100127,POL-698823,2026-04-02,NR,D,B,0,75201,2026-04-17,AC,N,0
TFB-100128,POL-701856,2026-01-03,C,C,A,1,75201,2026-03-29,A,Y,0
TFB-100129,POL-763783,2026-03-11,C,T,A,1,77002,2026-05-30,BEJ,Y,0
TFB-100130,POL-674056,2026-03-04,C,T,B,0,78205,2026-04-20,E,Y,0
TFB-100131,POL-831222,2026-01-10,D,T,C,1,78205,2026-03-11,BD,Y,0
TFB-100132,POL-613024,2026-01-12,NR,D,A,1,76701,2026-04-01,CD,Y,0
TFB-100133,POL-613576,2026-04-11,C,D,A,1,76712,2026-06-19,AC,N,0
TFB-100134,POL-987270,2026-01-28,C,D,B,1,76710,2026-04-07,CGJ,N,0
TFB-100135,POL-522338,2026-01-02,C,T,B,1,78701,2026-03-26,L,Y,0
TFB-100136,POL-831724,2026-04-10,NR,H,C,0,78205,2026-05-20,ADJ,Y,0
TFB-100137,POL-703958,2026-03-07,D,H,A,1,78701,2026-05-14,E,N,0
TFB-100138,POL-822622,2026-02-07,C,C,A,0,75201,2026-03-27,DH,Y,0
TFB-100139,POL-962688,2026-04-06,D,D,C,1,75201,2026-06-26,J,N,0
TFB-100140,POL-685439,2026-04-16,D,D,B,0,76710,2026-05-30,J,N,0
TFB-100141,POL-715113,2026-04-04,NR,T,B,0,78205,2026-05-03,GF,Y,0
TFB-100142,POL-859148,2026-01-10,D,T,A,0,78205,2026-01-05,BEL,N,0
TFB-100143,POL-877215,2026-01-07,C,C,A,1,76701,2026-03-29,J,Y,0
TFB-100144,POL-668962,2026-04-01,NR,T,C,1,,2026-05-31,J,Y,0
TFB-100145,POL-533036,2026-04-05,NR,C,C,0,76712,2026-05-25,I,N,0
TFB-100146,POL-933509,2026-01-18,NR,C,A,0,76712,2026-03-09,DF,Y,0
TFB-100147,POL-988474,2026-03-22,NR,D,B,0,76710,2026-04-18,BHK,Y,0
TFB-100148,POL-714057,2026-01-21,D,D,A,1,76710,2026-03-29,G,N,0
TFB-100149,POL-702506,2026-04-05,C,D,B,1,76710,2026-06-30,DF,Y,0
TFB-100150,POL-924984,2026-03-03,NR,T,C,0,76701,2026-03-27,G,Y,0
TFB-100151,POL-850369,2026-03-30,D,T,A,1,78205,2026-06-21,BCE,N,0
TFB-100152,POL-909827,2026-04-13,D,H,C,0,78205,2026-06-06,AF,Y,0
TFB-100153,POL-544947,2026-02-22,D,D,A,0,75201,2026-03-12,C,Y,0
TFB-100154,POL-730011,2026-01-17,C,D,A,0,76701,2026-02-10,CL,N,0
TFB-100155,POL-864360,2026-02-03,D,C,C,1,77002,2026-05-02,GJ,Y,0
TFB-100156,POL-798974,2026-01-01,NR,T,A,0,76710,2026-03-01,AE,N,0
TFB-100157,POL-975854,2026-03-23,D,T,B,1,76710,2026-05-28,DFH,Y,0
TFB-100158,POL-707124,2026-03-01,NR,D,B,0,79901,2026-03-30,DL,Y,0
TFB-100159,POL-586148,2026-03-16,C,C,A,1,79901,2026-06-07,AGH,Y,0
TFB-100160,POL-634586,2026-01-08,NR,H,A,0,76712,2026-01-30,DG,N,0
TFB-100161,POL-615494,2026-03-01,D,T,B,0,76712,2026-03-28,BF,Y,0
TFB-100162,POL-549243,2026-03-03,C,D,B,0,77002,2026-04-17,CDG,Y,0
TFB-100163,POL-935655,2026-01-21,NR,D,B,0,75201,2026-02-09,CHK,N,0
TFB-100164,POL-748584,2026-03-30,NR,C,A,0,78205,2026-05-07,C,Y,0
TFB-100165,POL-584946,2026-01-02,C,C,A,0,78205,2026-01-20,DFG,Y,0
TFB-100166,POL-883115,2026-04-03,D,C,A,0,78205,2026-04-18,CFH,N,0
TFB-100167,POL-787573,2026-04-12,C,T,C,0,75201,2026-06-01,JL,Y,0
TFB-100168,POL-663686,2026-01-13,D,D,C,1,76701,2026-03-14,DF,Y,0
TFB-100169,POL-928212,2026-02-18,C,T,B,0,78701,2026-03-24,BEH,Y,0
TFB-100170,POL-852409,2026-01-18,C,H,B,0,78205,2026-02-02,EHJ,N,0
TFB-100171,POL-680943,2026-03-21,D,D,C,0,75201,2026-05-15,CG,Y,0
TFB-100172,POL-884392,2026-01-20,C,C,A,0,75201,2026-02-16,CHL,Y,0
TFB-100173,POL-952671,2026-04-18,C,C,A,1,76701,2026-06-21,F,Y,0
TFB-100174,POL-507596,2026-03-18,C,H,B,1,78205,2026-06-06,FH,N,0
TFB-100175,POL-650197,2026-02-07,NR,T,B,0,76712,2026-02-25,HK,N,0
TFB-100176,POL-996249,2026-01-16,C,C,C,0,78205,2026-03-15,EFK,Y,1
TFB-100177,POL-719954,2026-04-02,C,D,C,0,78701,2026-04-20,K,N,0
TFB-100178,POL-693503,2026-04-17,NR,H,B,0,78205,2026-06-02,AL,N,0
TFB-100179,POL-868831,2026-02-14,NR,T,B,0,76710,2026-03-27,FGK,Y,1
TFB-100180,POL-885365,2026-04-07,D,H,C,0,76710,2026-04-24,DHJ,N,0
TFB-100181,POL-517112,2026-02-21,NR,C,B,1,79901,2026-05-08,DK,Y,1
TFB-100182,POL-861957,2026-04-21,C,C,A,0,76712,2026-06-02,DF,Y,0
TFB-100183,POL-506436,2026-01-13,C,H,C,0,78701,2026-03-05,AC,Y,0
TFB-100184,POL-645821,2026-04-09,D,T,A,0,76712,2026-05-29,FH,Y,0
TFB-100185,POL-586140,2026-03-04,C,D,C,1,79901,2026-05-21,B,Y,0
TFB-100186,POL-682772,2026-01-13,C,D,C,1,76710,2026-01-08,B,Y,0
TFB-100187,POL-583831,2026-02-27,C,T,A,0,76701,2026-03-25,BIJ,Y,0
TFB-100188,POL-812319,2026-01-11,D,T,B,1,78205,2026-04-09,E,Y,0
TFB-100189,POL-619622,2026-03-09,C,C,B,0,76712,2026-04-25,BDG,N,0
TFB-100190,POL-943366,2026-04-19,NR,H,B,1,76710,2026-06-25,CG,Y,0
TFB-100191,POL-791323,2026-04-18,NR,T,A,1,78205,2026-06-23,F,Y,0
TFB-100192,POL-675160,2026-03-16,D,H,B,1,77002,2026-05-17,FI,N,0
TFB-100193,POL-983298,2026-01-05,C,C,B,1,78701,2026-03-14,E,N,0
TFB-100194,POL-752407,2026-04-04,D,D,C,1,76710,2026-06-07,HE,Y,0
TFB-100195,POL-722018,2026-04-06,D,T,B,0,77002,2026-05-29,JK,N,0
TFB-100196,POL-771219,2026-01-10,NR,C,B,0,77002,2026-01-27,HIJ,Y,0
TFB-100197,POL-644186,2026-02-03,C,D,C,1,76712,2026-04-10,CE,N,0
TFB-100198,POL-834192,2026-02-21,NR,D,A,1,75201,2026-04-26,ADG,Y,0
TFB-100199,POL-522281,2026-03-18,D,T,B,1,76701,2026-05-20,BFJ,N,0
TFB-100200,POL-946699,2026-03-17,D,C,C,0,78205,2026-04-07,JK,Y,0
TFB-100201,POL-632261,2026-01-20,D,H,B,0,75201,2026-02-05,GH,N,0
TFB-100202,POL-655190,2026-03-07,C,H,B,0,77002,2026-04-12,K,Y,1
TFB-100203,POL-573240,2026-03-16,D,C,B,1,78701,2026-05-18,I,Y,0
TFB-100204,POL-524200,2026-03-05,C,H,B,1,77002,2026-05-14,J,N,0
TFB-100205,POL-677372,2026-03-25,C,C,B,0,76701,2026-04-30,CGL,N,0
TFB-100206,POL-622115,2026-03-31,C,D,A,0,77002,2026-04-29,ADI,Y,0
TFB-100207,POL-550161,2026-01-10,D,T,A,1,77002,2026-04-04,DIJ,Y,0
TFB-100208,POL-624159,2026-03-08,NR,D,B,1,79901,2026-05-26,JK,N,0
TFB-100209,POL-798278,2026-01-16,NR,D,A,0,78701,2026-02-07,H,N,0
TFB-100210,POL-613785,2026-01-21,C,C,B,0,79901,2026-02-19,B,Y,0
TFB-100211,POL-839095,2026-01-12,NR,C,B,0,77002,2026-02-19,BK,Y,1
TFB-100212,POL-713488,2026-01-28,C,T,C,0,76712,2026-03-27,D,N,0
TFB-100213,POL-727511,2026-01-16,D,C,C,0,79901,2026-02-18,HL,N,0
TFB-100214,POL-862752,2026-01-28,C,T,C,0,76712,2026-03-18,CFH,Y,0
TFB-100215,POL-850931,2026-02-14,C,T,C,0,77002,2026-04-03,BGJ,Y,0
TFB-100216,POL-510749,2026-02-17,D,H,A,1,78701,2026-04-28,CFL,N,0
TFB-100217,POL-924242,2026-03-14,NR,T,A,1,78701,2026-06-11,G,N,0
TFB-100218,POL-642060,2026-03-15,NR,H,A,0,76710,2026-04-07,HFD,Y,0
TFB-100219,POL-661145,2026-01-20,D,C,C,0,76710,2026-02-13,D,Y,0
TFB-100220,POL-554136,2026-02-05,D,T,A,0,76712,2026-02-23,B,Y,0
TFB-100221,POL-938120,2026-02-09,D,C,A,1,,2026-04-30,K,Y,1
TFB-100222,POL-741861,2026-04-11,NR,D,C,0,76710,2026-05-08,BCI,Y,0
TFB-100223,POL-583073,2026-04-10,NR,T,B,1,79901,2026-06-22,DL,N,0
TFB-100224,POL-778758,2026-02-02,D,C,C,0,77002,2026-03-20,FK,Y,1
TFB-100225,POL-942039,2026-02-24,C,T,B,1,76712,2026-05-13,G,Y,0
TFB-100226,POL-912349,2026-04-06,D,H,A,0,76710,2026-06-03,A,Y,0
TFB-100227,POL-763662,2026-03-19,D,C,B,0,79901,2026-04-08,H,Y,0
TFB-100228,POL-681523,2026-02-07,D,C,C,0,75201,2026-03-24,I,Y,0
TFB-100229,POL-641279,2026-03-30,NR,C,B,0,79901,2026-04-23,DFL,N,0
TFB-100230,POL-840638,2026-03-23,C,C,A,1,75201,2026-05-26,D,Y,0
TFB-100231,POL-599460,2026-03-15,C,D,C,0,78205,2026-05-08,FGH,Y,0
TFB-100232,POL-779476,2026-04-21,D,T,C,0,76710,2026-06-02,ADI,Y,0
TFB-100233,POL-735171,2026-03-08,NR,T,C,1,76710,2026-03-03,DG,Y,0
TFB-100234,POL-795324,2026-03-21,D,C,B,0,77002,2026-04-20,AFL,N,0
TFB-100235,POL-790459,2026-01-14,D,T,B,0,76710,2026-03-09,ABL,Y,0
TFB-100236,POL-916729,2026-01-04,D,D,A,0,79901,2026-02-25,BGJ,N,0
TFB-100237,POL-893841,2026-02-12,D,C,A,0,76712,2026-03-25,I,N,0
TFB-100238,POL-782922,2026-02-15,NR,T,B,0,76710,2026-03-29,DJ,Y,0
TFB-100239,POL-579181,2026-02-07,C,H,B,0,79901,2026-02-02,IJK,N,0
TFB-100240,POL-891436,2026-01-05,C,C,B,0,76701,2026-01-23,G,Y,0
TFB-100241,POL-712257,2026-03-17,C,T,B,0,79901,2026-05-03,K,Y,1
TFB-100242,POL-862854,2026-02-13,NR,H,C,0,79901,2026-03-23,EHL,N,0
TFB-100243,POL-771118,2026-02-03,NR,D,A,1,75201,2026-04-23,A,N,0
TFB-100244,POL-538903,2026-03-31,NR,D,C,0,79901,2026-04-27,G,N,0
TFB-100245,POL-883152,2026-02-10,D,D,C,0,76710,2026-02-27,J,N,0
TFB-100246,POL-527019,2026-01-10,C,C,A,1,76710,2026-04-06,GL,Y,0
TFB-100247,POL-782723,2026-01-07,C,D,C,0,76701,2026-02-23,BGK,Y,1
TFB-100248,POL-503697,2026-01-25,NR,D,C,0,78701,2026-03-10,B,Y,0
TFB-100249,POL-659947,2026-01-30,C,C,B,0,76712,2026-03-05,ADE,Y,0
TFB-100250,POL-756836,2026-04-11,D,T,A,0,76712,2026-05-25,BFJ,N,0
TFB-100251,POL-509632,2026-02-13,C,C,C,0,76712,2026-03-20,AF,Y,0
TFB-100252,POL-740417,2026-01-19,C,H,C,0,79901,2026-02-19,ABC,N,0
TFB-100253,POL-500242,2026-03-11,NR,T,B,1,76701,2026-05-10,DI,N,0
TFB-100254,POL-849278,2026-03-09,NR,C,A,1,75201,2026-05-25,B,N,0
TFB-100255,POL-920934,2026-01-23,NR,T,A,0,78701,2026-03-04,L,Y,0
TFB-100256,POL-501616,2026-01-28,NR,H,B,1,76710,2026-04-10,B,N,0
TFB-100257,POL-803943,2026-04-04,C,D,C,0,79901,2026-05-11,EIJ,N,0
TFB-100258,POL-677225,2026-04-14,NR,T,B,0,78205,2026-05-09,I,Y,0
TFB-100259,POL-760973,2026-03-25,NR,D,A,1,76701,2026-06-15,BK,Y,1
TFB-100260,POL-913110,2026-04-15,D,H,C,0,77002,2026-05-28,AF,N,0
TFB-100261,POL-980584,2026-02-06,NR,T,A,0,78701,2026-04-02,A,Y,0
TFB-100262,POL-530434,2026-02-01,NR,H,B,0,77002,2026-02-27,BEH,Y,0
TFB-100263,POL-593222,2026-03-13,NR,D,B,0,79901,2026-03-31,FL,N,0
TFB-100264,POL-654312,2026-03-24,NR,C,A,0,75201,2026-04-27,ADF,Y,0
TFB-100265,POL-942680,2026-03-19,C,H,B,1,78701,2026-05-22,F,Y,0
TFB-100266,POL-920347,2026-02-24,C,T,C,0,78701,2026-04-11,D,N,0
TFB-100267,POL-879213,2026-01-03,NR,D,C,0,75201,2026-02-15,KFA,Y,1
TFB-100268,POL-951538,2026-01-04,NR,D,A,0,,2026-02-12,D,N,0
TFB-100269,POL-849844,2026-03-29,C,T,C,0,76712,2026-05-13,BC,Y,0
TFB-100270,POL-748596,2026-04-01,C,C,C,0,,2026-05-05,BK,Y,1
TFB-100271,POL-883856,2026-01-12,C,C,C,1,76701,2026-03-16,E,Y,0
TFB-100272,POL-712444,2026-02-07,C,T,C,0,78205,2026-02-22,EI,N,0
TFB-100273,POL-664679,2026-02-17,C,H,B,1,78701,2026-04-28,BJ,N,0
TFB-100274,POL-643024,2026-03-23,C,T,B,1,78205,2026-06-20,BL,N,0
TFB-100275,POL-762106,2026-01-27,D,H,B,1,79901,2026-04-13,CH,Y,0
TFB-100276,POL-745861,2026-03-14,NR,T,B,1,77002,2026-05-20,AF,Y,0
TFB-100277,POL-512544,2026-01-02,D,D,A,1,78205,2026-03-18,J,N,0
TFB-100278,POL-784207,2026-02-15,C,T,A,1,76710,2026-05-08,KL,Y,1
TFB-100279,POL-548506,2026-03-18,C,D,A,1,79901,2026-06-04,AC,N,0
TFB-100280,POL-505928,2026-01-29,D,D,C,1,79901,2026-04-01,EFH,Y,0
TFB-100281,POL-850888,2026-02-11,D,T,A,0,75201,2026-03-22,ABD,N,0
TFB-100282,POL-767758,2026-04-20,D,T,A,0,78205,2026-05-21,B,N,0
TFB-100283,POL-955244,2026-02-17,C,C,B,1,77002,2026-05-06,BCK,N,0
TFB-100284,POL-741230,2026-03-02,D,D,B,0,78701,2026-03-24,EK,N,0
TFB-100285,POL-537647,2026-03-26,C,T,C,1,76712,2026-06-18,J,N,0
TFB-100286,POL-925285,2026-02-18,C,C,A,0,75201,2026-03-22,AEL,N,0
TFB-100287,POL-700813,2026-02-14,D,T,C,0,76712,2026-02-09,CI,N,0
TFB-100288,POL-677482,2026-02-08,NR,T,C,0,77002,2026-03-27,J,Y,0
TFB-100289,POL-764366,2026-03-05,NR,D,A,1,76701,2026-05-10,L,Y,0
TFB-100290,POL-654995,2026-04-09,D,H,C,1,76710,2026-06-11,K,Y,1
TFB-100291,POL-887384,2026-03-27,D,H,A,0,76701,2026-04-14,G,Y,0
TFB-100292,POL-867212,2026-04-01,NR,T,C,1,76712,2026-06-13,BKL,N,0
TFB-100293,POL-667954,2026-02-28,NR,D,C,1,75201,2026-05-27,AGL,N,0
TFB-100294,POL-647870,2026-02-10,NR,T,C,0,75201,2026-03-24,BI,N,0
TFB-100295,POL-611834,2026-03-11,D,C,C,0,76710,2026-04-28,BJ,Y,0
TFB-100296,POL-817831,2026-02-11,NR,T,B,1,76710,2026-05-05,BD,Y,0
TFB-100297,POL-882448,2026-01-14,NR,T,A,1,76710,2026-03-27,DF,Y,0
TFB-100298,POL-861060,2026-01-04,NR,H,A,1,77002,2026-03-23,G,Y,0
